Country;City;Borough;Neighborhood;ZIP;Neighborhood_2;Neighborhood_3;
Germany;Berlin;Mitte;Mitte;10115; ;;
Germany;Berlin;Mitte;Mitte;10117; ;;
Germany;Berlin;Mitte;Mitte;10119; ;;
Germany;Berlin;Mitte;Mitte;10178; ;;
Germany;Berlin;Mitte;Mitte;10179; ;;
Germany;Berlin;Mitte;Mitte;10179; ;;
Germany;Berlin;Friedrichshain-Kreuzberg;Friedrichshain;10243; ;;
Germany;Berlin;Friedrichshain-Kreuzberg;Friedrichshain;10245; ;;
Germany;Berlin;Friedrichshain-Kreuzberg;Friedrichshain;10247; ;;
Germany;Berlin;Friedrichshain-Kreuzberg;Friedrichshain;10249; Friedrichshain (Friedrichshain-Kreuzberg);;
Germany;Berlin;Lichtenberg;Friedrichsfelde;10315; ;;
Germany;Berlin;Lichtenberg;Rummelsburg;10317; ;;
Germany;Berlin;Lichtenberg;Karlshorst;10318; ;;
Germany;Berlin;Lichtenberg;Friedrichsfelde;10319; ;;
Germany;Berlin;Lichtenberg;Lichtenberg;10365; Lichtenberg (Lichtenberg);;
Germany;Berlin;Lichtenberg;Fennpfuhl;10367; ;;
Germany;Berlin;Lichtenberg;Lichtenberg;10369; ;;
Germany;Berlin;Pankow ;Prenzlauer Berg;10405; ;;
Germany;Berlin;Pankow ;Prenzlauer Berg;10407; ;;
Germany;Berlin;Pankow ;Prenzlauer Berg;10409; ;;
Germany;Berlin;Pankow ;Prenzlauer Berg;10435; Prenzlauer Berg (Pankow );;
Germany;Berlin;Pankow ;Prenzlauer Berg;10437; ;;
Germany;Berlin;Pankow ;Prenzlauer Berg;10439; ;;
Germany;Berlin;Mitte;Moabit;10551; ;;
Germany;Berlin;Mitte;Moabit;10553; ;;
Germany;Berlin;Mitte;Moabit;10555; Moabit (Mitte);;
Germany;Berlin;Mitte;Hansaviertel;10557; Hansaviertel (Mitte); Tiergarten (Mitte);
Germany;Berlin;Mitte;Moabit;10559; ; ;
Germany;Berlin;Charlottenburg-Wilmersdorf;Charlottenburg;10585; ; ;
Germany;Berlin;Charlottenburg-Wilmersdorf;Charlottenburg;10587; ; ;
Germany;Berlin;Charlottenburg-Wilmersdorf;Charlottenburg;10589; ; ;
Germany;Berlin;Charlottenburg-Wilmersdorf;Charlottenburg;10623; ; ;
Germany;Berlin;Charlottenburg-Wilmersdorf;Charlottenburg;10625; ; ;
Germany;Berlin;Charlottenburg-Wilmersdorf;Charlottenburg;10627; ; ;
Germany;Berlin;Charlottenburg-Wilmersdorf;Charlottenburg;10629; ; ;
Germany;Berlin;Charlottenburg-Wilmersdorf;Wilmersdorf;10707; ; ;
Germany;Berlin;Charlottenburg-Wilmersdorf;Halensee;10709; Halensee (Charlottenburg-Wilmersdorf); ;
Germany;Berlin;Charlottenburg-Wilmersdorf;Halensee;10711; Halensee (Charlottenburg-Wilmersdorf); ;
Germany;Berlin;Charlottenburg-Wilmersdorf;Halensee;10713; ; ;
Germany;Berlin;Charlottenburg-Wilmersdorf;Wilmersdorf;10715; ; ;
Germany;Berlin;Charlottenburg-Wilmersdorf;Wilmersdorf;10717; ; ;
Germany;Berlin;Charlottenburg-Wilmersdorf;Wilmersdorf;10719; Wilmersdorf (Charlottenburg-Wilmersdorf); ;
Germany;Berlin;Tempelhof-Schöneberg;Schöneberg;10777; Schöneberg (Tempelhof-Schöneberg); ;
Germany;Berlin;Tempelhof-Schöneberg;Schöneberg;10779; Schöneberg (Tempelhof-Schöneberg); ;
Germany;Berlin;Tempelhof-Schöneberg;Schöneberg;10781; ; ;
Germany;Berlin;Tempelhof-Schöneberg;Schöneberg;10783; ; ;
