Mitte 10115, Berlin 
Mitte 10117, Berlin 
Mitte 10119, Berlin 
Mitte 10178, Berlin 
Mitte 10179, Berlin 
Mitte 10179, Berlin 
Friedrichshain 10243, Berlin 
Friedrichshain 10245, Berlin 
Friedrichshain 10247, Berlin 
Friedrichshain 10249, Berlin 
Prenzlauer Berg 10249, Berlin 
Friedrichsfelde 10315, Berlin 
Rummelsburg 10317, Berlin 
Karlshorst 10318, Berlin 
Friedrichsfelde 10319, Berlin 
Fennpfuhl 10365, Berlin 
Lichtenberg 10365, Berlin 
Fennpfuhl 10367, Berlin 
Lichtenberg 10369, Berlin 
Prenzlauer Berg 10405, Berlin 
Prenzlauer Berg 10407, Berlin 
Prenzlauer Berg 10409, Berlin 
Mitte 10409, Berlin 
Prenzlauer Berg 10435, Berlin 
Prenzlauer Berg 10437, Berlin 
Prenzlauer Berg 10439, Berlin 
Moabit 10551, Berlin 
Moabit 10553, Berlin 
Hansaviertel 10553, Berlin 
Moabit 10555, Berlin 
Moabit 10557, Berlin 
Tiergarten 10557, Berlin 
Hansaviertel 10557, Berlin 
Moabit 10559, Berlin 
Charlottenburg 10585, Berlin 
Charlottenburg 10587, Berlin 
Charlottenburg 10589, Berlin 
Charlottenburg 10623, Berlin 
Charlottenburg 10625, Berlin 
Charlottenburg 10627, Berlin 
Charlottenburg 10629, Berlin 
Wilmersdorf 10707, Berlin 
Wilmersdorf 10709, Berlin 
Halensee 10709, Berlin 
Grunewald 10711, Berlin 
Halensee 10711, Berlin 
Halensee 10713, Berlin 
Wilmersdorf 10715, Berlin 
Wilmersdorf 10717, Berlin 
Charlottenburg 10719, Berlin 
Wilmersdorf 10719, Berlin 
Wilmersdorf 10777, Berlin 
Schöneberg 10777, Berlin 
Wilmersdorf 10779, Berlin 
Schöneberg 10779, Berlin 
Schöneberg 10781, Berlin 
Schöneberg 10783, Berlin 
Tiergarten 10785, Berlin 
Tiergarten 10787, Berlin 
Schöneberg 10787, Berlin 
Wilmersdorf 10789, Berlin 
Schöneberg 10823, Berlin 
